name,type,population,Lat,Long
Arpili,hamlet,,10.456865,123.688601
Arrado,hamlet,,12.531634,121.429614
Arteche,town,,12.239344,125.318889
Arupay,hamlet,,12.369747,121.151013
Asgad,hamlet,,11.178611,125.674167
Astorga,hamlet,,11.667602,124.770047
Asturias,town,,10.563261,123.71931
Asturias,hamlet,,10.568112,123.715495
Asue-Pabriaga,hamlet,,11.266667,123.033333
Atapulian,village,,10.511866,122.956235
Atiplo,hamlet,,11.431,122.6053
Atipolo,village,,11.572224,124.390966
Aurora,village,,13.26926,121.134682
Awijao,hamlet,,9.783333,124.083333
Ayon-Dao,hamlet,,13.3535,121.0417
Ayungon,town,,9.866667,123.066667
Ayuyan,village,,11.204056,122.588444
Azagra,hamlet,,12.278745,122.629111
Ba̱adero,hamlet,,12.325646,123.664455
Baang,hamlet,,9.8,124.016667
Babag,hamlet,,10.384062,123.855581
Babag,hamlet,,10.282879,123.947203
Babagonon,hamlet,,13.195491,121.274917
Babatngon,town,,11.423333,124.846111
Babayongan,hamlet,,9.816766,123.801658
Babug,hamlet,,12.373247,121.041713
Bacagan,hamlet,,12.153,123.8466
Bacagan,hamlet,,12.1705,123.8869
Bacalan,hamlet,,11.5464,122.0849
Bacani,village,,9.962233,124.0449
Bacayan,village,,10.385764,123.92163
Bacayauan,village,,11.3675,125.595833
Bachauan,village,,11.206676,123.964042
Bachawan,hamlet,,12.466667,122.106111
Baciad,hamlet,,11.190253,123.915651
Bacjao,hamlet,,10.998461,125.618081
Bacjao,hamlet,,11.100707,125.43446
Bacjao,hamlet,,11.7185,122.3797
Bacjauan Sur,hamlet,,11.217982,123.1
Baclayon,town,,9.624997,123.911049
Bacnit,village,,9.13301,124.69804
Bacnit,town,,9.10176,124.76488
Baco,town,,13.358957,121.094833
Baco,hamlet,,13.3573,121.0983
Baco,hamlet,,13.4137,121.1271
Bacong,town,,9.245833,123.294722
Bacong,hamlet,,11.8526,121.5188
Bactas,hamlet,,10.693181,123.987251
Bacton,hamlet,,13.233333,121.1
Bacuag,town,,9.583333,125.633333
Bacubac,hamlet,,11.284785,125.039238
Bacungan,village,,9.909243,118.700644
Bacungan,hamlet,,13.321183,121.260618
Bacuranan,village,,11.1361,122.645515
Bacyawan,hamlet,,10.700896,123.871241
Badiagan,hamlet,,11.7098,122.1482
Badian,town,,9.869116,123.399228
Badian,village,,13.029749,123.308074
Badiang,hamlet,,11.1677,123.9986
Badiang,hamlet,,11.138611,124.811111
Badiang,hamlet,,12.5577,123.6867
Badiang,village,,10.133068,124.81016
Badiang daco,hamlet,,11.1304,124.4011
Badiangan,town,,11,122.516667
Badiangan,hamlet,,11.3368,122.97
Badiangon,hamlet,,11.3867,122.9519
Badiung,hamlet,,11.932585,124.298949
Badlan Hills,hamlet,,11.4578,122.5102
Badling,hamlet,,12.212896,123.805335
Badyang,hamlet,,10.049904,124.325197
Bagaas,hamlet,,12.283053,121.145712
Bagabansalan,hamlet,,12.5406,123.6388
Bagacay,village,,12.844026,124.089384
Bagacay,village,,12.982051,124.141498
Bagacay,village,,11.151384,122.616977
